Type;Syb-type;Spread;Page;Slot;photo_Xmm_without bleed;photo_Ymm_without bleed;photo_Xmm_with bleed;photo_Ymm_with bleed;photo_Width_mm;photo_Height_mm;full_bleed;captions allowed;captions_position;captions_Xmm_without bleed;captions_Ymm_without bleed;captions_Xmm_with bleed;captions_Ymm_with bleed;captions_Width_mm;captions_Height_mm;captions_Halignment;captions_Valignment;caption_font;caption_size_pt;caption_style;caption_letter_spacing;caption_line_spacing;functional_photo;functional_text;captions_color;bgColor;Aspect ratio;Photo shape;Orientation;Bleed, mm;Page size
Standard;n.a;5;Right H;1;105;130;108;133;150;100;no;yes;above (10mm from photo);105;63.5;108;66.5;100;13;center;top;Baskervville;18pt;Italic;-0.02;1.28;n.a;n.a;#262262;#ffffff;03:02;rectangle;horizontal;3;200×200mm
Standard;n.a;5;Right V;1;105;110;108;113;120;160;no;yes;above (5mm from photo);105;18.5;108;21.5;100;13;center;top;Baskervville;18pt;Italic;-0.02;1.28;n.a;n.a;#262262;#ffffff;03:04;rectangle;vertical;3;200×200mm
Standard;n.a;6;Left H;1;95;100;98;103;150;100;no;yes;below (10mm from photo);95;166.5;98;169.5;100;13;center;top;Baskervville;18pt;Italic;-0.02;1.28;n.a;n.a;#262262;#ffffff;03:02;rectangle;horizontal;3;200×200mm
Standard;n.a;6;Left V;1;95;90;98;93;120;160;no;yes;below (5mm from photo);95;181.5;98;184.5;100;13;center;top;Baskervville;18pt;Italic;-0.02;1.28;n.a;n.a;#262262;#ffffff;03:04;rectangle;vertical;3;200×200mm
Standard;n.a;6;Right H;1;105;100;108;103;150;100;no;yes;below (10mm from photo);105;166.5;108;169.5;100;13;center;top;Baskervville;18pt;Italic;-0.02;1.28;n.a;n.a;#262262;#ffffff;03:02;rectangle;horizontal;3;200×200mm
Standard;n.a;6;Right V;1;105;90;108;93;120;160;no;yes;below (5mm from photo);105;181.5;108;184.5;100;13;center;top;Baskervville;18pt;Italic;-0.02;1.28;n.a;n.a;#262262;#ffffff;03:04;rectangle;vertical;3;200×200mm
Functional;Intro;1;-;-;-;-;-;-;-;-;no;yes;center;105;110;108;113;93;97;center;center;Baskervville;18pt;Italic;-0.02;1.28;n.a;n.a;#262262;#ffffff;-;;-;3;200×200mm
Functional;Labour;2;Left H;1;95;95;98;98;150;100;no;yes;below (25mm from photo);95;176.5;98;179.5;100;13;center;center;Baskervville;18pt;Italic;-0.02;1.28;yes;yes;#262262;#c0d5ee;03:02;rectangle;horizontal;3;200×200mm
Functional;Labour;2;Left V;1;95;95;98;98;100;133;no;yes;below (10mm from photo);95;180;98;183;100;13;center;center;Baskervville;18pt;Italic;-0.02;1.28;yes;yes;#262262;#c0d5ee;03:04;rectangle;vertical;3;200×200mm
Functional;Labour;2;Right H;1;105;95;108;98;150;100;no;yes;bottom right (10mm from photo);127.5;170;130.5;173;105;30;right;top;Baskervville;18pt;Italic;-0.02;1.28;yes;yes;#262262;#ffffff;03:02;rectangle;horizontal;3;200×200mm
Functional;Labour;2;Right V;1;85;100;88;103;120;160;no;yes;upper right (5mm from photo);170;60;173;63;40;80;;;Baskervville;18pt;Italic;-0.02;1.28;yes;yes;#262262;#ffffff;03:04;rectangle;vertical;3;200×200mm
