Type;Page;Slot;photo_Xmm_without bleed;photo_Ymm_without bleed;photo_Xmm_with bleed;photo_Ymm_with bleed;photo_Width_mm;photo_Height_mm;Photo shape;captions allowed;captions1_Xmm_without bleed;captions1_Ymm_without bleed;captions1_Xmm_with bleed;captions1_Ymm_with bleed;captions2_Xmm_without bleed;captions2_Ymm_without bleed;captions2_Xmm_with bleed;captions2_Ymm_with bleed;captions1_width;captions1_height;captions2_width;captions2_height;Captions_1_font;Captions_2_font;Captions_1_fontsize;Captions_2_fontsize;Captions_1_direction;Captions_2_direction;captions_1_fontcolor;captions_2_fontcolor;caption1_alignment;caption2_alignment;bgColor;Aspect ratio;Orientation;Bleed, mm;Page size
Front page;Right H;;309;85;327;103;135;115;custom;yes;309;157;327;175;309;175;327;193;115;20;100;12;Twinkle Star Regular;Baskervville Medium Italic;44pt;17pt;horisontal;horisontal;#c0d5ee;#c0d5ee;center;center;#12264b;;horizontal;18;200×200mm
Spine;Center;;;;;;;;;yes;204.5;100;222.5;118;;;;;8;65;;;Twinkle Star Regular;;20pt;;Rotate all text 270 degree;;#21386e;;center;;;;;18;
