Type;Page;Slot;photo_Xmm_without bleed;photo_Ymm_without bleed;photo_Xmm_with bleed;photo_Ymm_with bleed;photo_Width_mm;photo_Height_mm;captions allowed;captions1_Xmm_without bleed;captions1_Ymm_without bleed;captions1_Xmm_with bleed;captions1_Ymm_with bleed;captions2_Xmm_without bleed;captions2_Ymm_without bleed;captions2_Xmm_with bleed;captions2_Ymm_with bleed;captions1_width;captions1_height;captions2_width;captions2_height;Captions_1_font;Captions_2_font;Captions_1_fontsize;Captions_2_fontsize;Captions_1_direction;Captions_2_direction;captions_1_fontcolor;captions_2_fontcolor;Captions_1_label;Captions_1_placeholder;Captions_1_maxlength;Captions_2_label;Captions_2_placeholder;Captions_2_maxlength;bgColor;Aspect ratio;Orientation;Bleed, mm;overlay_position;Page size
Front page;Right H;1;310;93;328;111;100;100;yes;310;162;328;180;310;175;328;193;100;;100;6;Fredoka Bold;Mulish Medium;30pt;18pt;horisontal;horisontal;#ffffff;#ffffff;Front — label;Greece, 2026;60;Front — sub label;Where everything slowed down;100;#fbf8f6;07:05;horizontal;18;;200Ãƒâ€”200mm
Spine;Center;;;;;;;;yes;205;100;223;118;;;;;;100;;;Fredoka Bold;;16pt;;Rotate all text 270 degree;Rotate all text 270 degree;#ffffff;;Spine — label;Greece, 2026;60;;;;;;;18;;
