Type;Page;Slot;photo_Xmm_without bleed;photo_Ymm_without bleed;photo_Xmm_with bleed;photo_Ymm_with bleed;photo_Width_mm;photo_Height_mm;Photo shape;captions allowed;captions1_Xmm_without bleed;captions1_Ymm_without bleed;captions1_Xmm_with bleed;captions1_Ymm_with bleed;captions2_Xmm_without bleed;captions2_Ymm_without bleed;captions2_Xmm_with bleed;captions2_Ymm_with bleed;captions1_width;captions1_height;captions2_width;captions2_height;Captions_1_font;Captions_2_font;Captions_1_fontsize;Captions_2_fontsize;Captions_1_direction;Captions_2_direction;captions_1_fontcolor;captions_2_fontcolor;Captions_1_label;Captions_1_placeholder;Captions_1_maxlength;Captions_2_label;Captions_2_placeholder;Captions_2_maxlength;bgColor;Aspect ratio;Orientation;Bleed, mm;overlay_position;Page size;referenceSpineMm
Front page;Right H;1;309.65;99.21;327.65;117.21;139.6;104.4;custom;yes;283;162;301;180;372;162;390;180;120;;60;;Source Sans 3 Bold;Source Sans 3 Regular;26pt;28pt;horisontal;horisontal;#4a4b40;#4a4b40;Front � album name;Our sweet Ann;60;Front � year;2026;10;#8bb8d8;custom;horizontal;18;below;200Ã—200mm;9
Spine;Center;;;;;;;;;yes;204;204.5;222;158;204.5;60;222;78;;98;;38;Source Sans 3 Regular;Source Sans 3 Regular;16pt;16pt;Rotate all text 270 degree;Rotate all text 270 degree;#4a4b40;#4a4b40;Spine � name;Ann;20;Spine � year;2026;10;;;;18;;
