Type;Page;Slot;photo_Xmm_without bleed;photo_Ymm_without bleed;photo_Xmm_with bleed;photo_Ymm_with bleed;photo_Width_mm;photo_Height_mm;captions allowed;captions1_Xmm_without bleed;captions1_Ymm_without bleed;captions1_Xmm_with bleed;captions1_Ymm_with bleed;captions2_Xmm_without bleed;captions2_Ymm_without bleed;captions2_Xmm_with bleed;captions2_Ymm_with bleed;captions1_width;captions1_height;captions2_width;captions2_height;Captions_1_font;Captions_2_font;Captions_1_fontsize;Captions_2_fontsize;Captions_1_direction;Captions_2_direction;captions_1_fontcolor;Captions_1_label;Captions_1_placeholder;Captions_1_maxlength;Captions_2_label;Captions_2_placeholder;Captions_2_maxlength;captions_2_fontcolor;caption1_alignment;caption2_alignment;bgColor;Aspect ratio;Orientation;Bleed, mm;Page size
Front page;Right H;;;;;;;;yes;361;182;379;200;;;;;65;5;;;Cormorant Garamond Semi Bold;;18pt;;horisontal;;#3E2A55;Front — album name;Dolomites, 2026;30;;;;;right;;;;;18;200Ã—200mm
Spine;Center;;;;;;;;yes;204.5;140;222.5;158;;;;;65;5;;;Cormorant Garamond Semi Bold;;18pt;;Rotate all text 270 degree;;#3E2A55;Spine —  album name;Dolomites, 2026;30;;;;;left;;;;;18;
