Type;Page;Slot;photo_Xmm_without bleed;photo_Ymm_without bleed;photo_Xmm_with bleed;photo_Ymm_with bleed;photo_Width_mm;photo_Height_mm;Photo shape;captions allowed;captions1_Xmm_without bleed;captions1_Ymm_without bleed;captions1_Xmm_with bleed;captions1_Ymm_with bleed;captions2_Xmm_without bleed;captions2_Ymm_without bleed;captions2_Xmm_with bleed;captions2_Ymm_with bleed;Captions_1_font;Captions_2_font;Captions_1_fontsize;Captions_2_fontsize;Captions_1_direction;Captions_2_direction;captions_1_fontcolor;captions_2_fontcolor;Captions_1_label;Captions_1_placeholder;Captions_1_maxlength;Captions_2_label;Captions_2_placeholder;Captions_2_maxlength;bgColor;Aspect ratio;Orientation;Bleed, mm;overlay_position;Page size
Front page;Right H;1;309;85;327;103;150;100;custom;yes;310;157;328;175;310;177;328;195;Parisienne;Parisienne;48pt;18pt;horisontal;horisontal;#7c746e;#7c746e;Front — label;Our wedding;60;Front — sub label;We found love;60;#fbf8f6;07:05;horizontal;18;;200Ãƒâ€”200mm
Spine;Center;;;;;;;;;yes;204.5;100;222.5;118;;;;;Parisienne;;18pt;;Rotate all text 270 degree;Rotate all text 270 degree;#fbf8f6;;Spine — label;Our wedding;60;;;;;;;18;;
