Type;Page;Slot;photo_Xmm_without bleed;photo_Ymm_without bleed;photo_Xmm_with bleed;photo_Ymm_with bleed;photo_Width_mm;photo_Height_mm;Photo shape;captions allowed;captions1_Xmm_without bleed;captions1_Ymm_without bleed;captions1_Xmm_with bleed;captions1_Ymm_with bleed;captions2_Xmm_without bleed;captions2_Ymm_without bleed;captions2_Xmm_with bleed;captions2_Ymm_with bleed;captions1_width;captions1_height;captions2_width;captions2_height;Captions_1_font;Captions_2_font;Captions_1_fontsize;Captions_2_fontsize;Captions_1_direction;Captions_2_direction;captions_1_fontcolor;captions_2_fontcolor;Captions_1_label;Captions_1_placeholder;Captions_1_maxlength;Captions_2_label;Captions_2_placeholder;Captions_2_maxlength;bgColor;Aspect ratio;Orientation;Bleed, mm;Page size;referenceSpineMm
Front page;Right H;1;309;100;327;118;140;100;rectangle;yes;309;25;327;43;309;175;327;193;180;;180;;EB Garamond;NT Somic;33pt;28pt;horisontal;horisontal;#493955;#493955;Front � year;2026;10;Front � album name;Our sweet Ann;60;#f8ead9;07:05;horizontal;18;200×200mm;9
Spine;Center;;;;;;;;;yes;204.5;140;222;158;204.5;60;222;78;;130;;70;NT Somic;EB Garamond;16pt;16pt;Rotate all text 270 degree;Rotate all text 270 degree;#493955;#493955;Spine � name;Ann;20;Spine � year;2026;10;;;;18;9;
