Map_Coordinates_upd;;;;;
Country;Map;X (mm), without bleed;Y (mm), without bleed;X (mm), with bleed;Y (mm), with bleed;German name
Botswana;Africa;109;150;112;153;Botsuana
South Africa;Africa;103;173;106;176;Südafrika
Lesotho;Africa;125;168;128;171;Lesotho
Eswatini;Africa;131;161;134;164;Eswatini
Madagascar;Africa;174;140;177;143;Madagaskar
Comoros;Africa;167;122;170;125;Komoren
Seychelles;Africa;186;113;189;116;Seychellen
Mauritius;Africa;191;146;194;149;Mauritius
Reunion;Africa;183;148;186;151;Réunion
Canada;N.America;76;50;79;53;Kanada
United States;N.America;108;97;111;100;Vereinigte Staaten
Alaska (USA);N.America;42;19;45;22;Alaska (USA)
Hawaii (USA);N.America;30;148;33;151;Hawaii (USA)
Mexico;N.America;84;137;87;140;Mexiko
Greenland (Denmark);N.America;174;12;177;15;Grönland (Dänemark)
The Bahamas;N.America;135;138;138;141;Bahamas
Cuba;N.America;126;146;129;149;Kuba
Jamaica;N.America;135;158;138;161;Jamaika
Haiti;N.America;159;157;162;160;Haiti
Dominican Republic;N.America;163;158;166;161;Dominikanische Republik
Puerto Rico (USA);N.America;172;161;175;164;Puerto Rico (USA)
Belize;N.America;108;158;111;161;Belize
Guatemala;N.America;105;163;108;166;Guatemala
El Salvador;N.America;108;167;111;170;El Salvador
Honduras;N.America;114;163;117;166;Honduras
Nicaragua;N.America;116;170;119;173;Nicaragua
Costa Rica;N.America;116;176;119;179;Costa Rica
Panama;N.America;122;180;125;183;Panama
Peru;S.America;55;58;58;61;Peru
Colombia;S.America;56;15;59;18;Kolumbien
Venezuela;S.America;91;12;94;15;Venezuela
Ecuador;S.America;43;33;46;36;Ecuador
Guyana;S.America;100;13;103;16;Guyana
Suriname;S.America;114;17;117;20;Suriname
French Guiana (France);S.America;123;23;126;26;Französisch-Guayana (Frankreich)
Trinidad & Tobago;S.America;93;6;96;9;Trinidad und Tobago
Brazil;S.America;124;60;127;63;Brasilien
Bolivia;S.America;84;77;87;80;Bolivien
Paraguay;S.America;98;94;101;97;Paraguay
Chile;S.America;66;134;69;137;Chile
Argentina;S.America;86;137;89;140;Argentinien
Uruguay;S.America;109;125;112;128;Uruguay
Australia;Oceania;48;91;51;94;Australien
Papua New Guinea;Oceania;65;41;68;44;Papua-Neuguinea
Solomon Islands;Oceania;104;41;107;44;Salomonen
New Caledonia (France);Oceania;118;105;121;108;Neukaledonien (Frankreich)
Fiji;Oceania;136;85;139;88;Fidschi
New Zealand;Oceania;150;141;153;144;Neuseeland
Samoa;Oceania;173;69;176;72;Samoa
Tonga;Oceania;177;110;180;113;Tonga
