Heirloom_sizing_full_Beige;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type;Syb-type;Spread;Page;Slot;photo_Xmm_without bleed;photo_Ymm_without bleed;photo_Xmm_with bleed;photo_Ymm_with bleed;photo_Width_mm;photo_Height_mm;full_bleed;captions allowed;captions_position;captions_Xmm_without bleed;captions_Ymm_without bleed;captions_Xmm_with bleed;captions_Ymm_with bleed;captions_Width_mm;captions_Height_mm;captions_Halignment;captions_Valignment;caption_font;caption_size_pt;caption_style;caption_letter_spacing;caption_line_spacing;functional_photo;functional_text;captions_color;bgColor;Aspect ratio;Orientation;Photo shape;Bleed, mm;overlay_position;Page size
Standard;n.a;4;Left V;1;50;100;53;103;80;107;no;no;;;;;;;;;;;;;;;n.a;n.a;;#cfc4b8;80:107;vertical;rectangle;3;;200×200mm
Standard;n.a;4;Left V;2;140;100;143;103;80;107;no;no;;;;;;;;;;;;;;;n.a;n.a;;#cfc4b8;80:107;vertical;rectangle;3;;200×200mm
Standard;n.a;4;Right H;1;105;100;108;103;150;100;no;yes;below (10mm from photo);105;166.5;108;169.5;100;13;center;top;IM FELL English;16pt;Regular;10;1.28;n.a;n.a;#3d3d4f;#cfc4b8;03:02;horizontal;rectangle;3;;200×200mm
Standard;n.a;4;Right V;1;105;90;108;93;120;160;no;yes;below (5mm from photo);105;181.5;108;184.5;100;13;center;top;IM FELL English;16pt;Regular;10;1.28;n.a;n.a;#3d3d4f;#cfc4b8;03:04;vertical;rectangle;3;;200×200mm
Standard;n.a;5;Left H;1;75;55;78;58;120;80;no;no;;;;;;;;;;;;;;;n.a;n.a;;#cfc4b8;03:02;horizontal;rectangle;3;;200×200mm
Standard;n.a;5;Left H;2;115;145;118;148;120;80;no;no;;;;;;;;;;;;;;;n.a;n.a;;#cfc4b8;03:02;horizontal;rectangle;3;;200×200mm
Standard;n.a;5;Left V;1;50;70;53;73;80;107;no;no;;;;;;;;;;;;;;;n.a;n.a;;#cfc4b8;80:107;vertical;rectangle;3;;200×200mm
Standard;n.a;5;Left V;2;140;130;143;133;80;107;no;no;;;;;;;;;;;;;;;n.a;n.a;;#cfc4b8;80:107;vertical;rectangle;3;;200×200mm
Standard;n.a;5;Right H;1;105;130;108;133;150;100;no;yes;above (10mm from photo);105;63.5;108;66.5;100;13;center;top;IM FELL English;16pt;Regular;10;1.28;n.a;n.a;#3d3d4f;#cfc4b8;03:02;horizontal;rectangle;3;;200×200mm
Standard;n.a;5;Right V;1;105;110;108;113;120;160;no;yes;above (5mm from photo);105;18.5;108;21.5;100;13;center;top;IM FELL English;16pt;Regular;10;1.28;n.a;n.a;#3d3d4f;#cfc4b8;03:04;vertical;rectangle;3;;200×200mm
Standard;n.a;6;Left H;1;95;100;98;103;150;100;no;yes;below (10mm from photo);95;166.5;98;169.5;100;13;center;top;IM FELL English;16pt;Regular;10;1.28;n.a;n.a;#3d3d4f;#cfc4b8;03:02;horizontal;rectangle;3;;200×200mm
Standard;n.a;6;Left V;1;95;90;98;93;120;160;no;yes;below (5mm from photo);95;181.5;98;184.5;100;13;center;top;IM FELL English;16pt;Regular;10;1.28;n.a;n.a;#3d3d4f;#cfc4b8;03:04;vertical;rectangle;3;;200×200mm
Standard;n.a;6;Right H;1;105;100;108;103;150;100;no;yes;below (10mm from photo);105;166.5;108;169.5;100;13;center;top;IM FELL English;16pt;Regular;10;1.28;n.a;n.a;#3d3d4f;#cfc4b8;03:02;horizontal;rectangle;3;;200×200mm
Standard;n.a;6;Right V;1;105;90;108;93;120;160;no;yes;below (5mm from photo);105;181.5;108;184.5;100;13;center;top;IM FELL English;16pt;Regular;10;1.28;n.a;n.a;#3d3d4f;#cfc4b8;03:04;vertical;rectangle;3;;200×200mm
Functional;Our story;1;Left S;1;95;100;98;103;100;100;no;no;;;;;;;;;;;;;;;yes;no;;#cfc4b8;01:01;square;rectangle;3;;200×200mm
Functional;Our story;1;Right;-;-;-;-;-;-;-;no;yes;center;105;95;108;98;110;110;center;center;IM FELL English;16pt;Regular;10;1.28;no;yes;#3d3d4f;#cfc4b8;n.a;square;;3;;200×200mm
Functional;Why I Love Him;2.1;Left;-;-;-;-;-;-;-;no;yes;center;95;95;98;98;110;110;center;center;IM FELL English;16pt;Regular;10;1.28;no;yes;#3d3d4f;#cfc4b8;n.a;square;rectangle;3;;200×200mm
Functional;Why I Love Him;2.1;Right H;1;100;100;103;103;206;206;yes;no;;;;;;;;;;;;;;;yes;no;;no background, full bleed photo;01:01;square;rectangle;3;;200×200mm
Functional;Why I Love Her;2.2;Left;-;-;-;-;-;-;-;no;yes;center;95;95;98;98;110;110;center;center;IM FELL English;16pt;Regular;10;1.28;no;yes;#3d3d4f;#cfc4b8;n.a;square;rectangle;3;;200×200mm
Functional;Why I Love Her;2.2;Right H;1;100;100;103;103;206;206;yes;no;;;;;;;;;;;;;;;yes;no;;no background, full bleed photo;01:01;square;rectangle;3;;200×200mm
