Tender_sizing_full-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type,Syb-type,Spread,Page,Slot,photo_Xmm_without bleed,photo_Ymm_without bleed,photo_Xmm_with bleed,photo_Ymm_with bleed,photo_Width_mm,photo_Height_mm,full_bleed,captions allowed,captions_position,captions_Xmm_without bleed,captions_Ymm_without bleed,captions_Xmm_with bleed,captions_Ymm_with bleed,captions_Width_mm,captions_Height_mm,captions_Halignment,captions_Valignment,caption_font,caption_size_pt,caption_style,caption_letter_spacing,caption_line_spacing,functional_photo,functional_text,captions_color,bgColor,Aspect ratio,Orientation,Photo shape,"Bleed, mm",overlay_position,Page size
Standard,n.a,8,Left V,1,79,104,82,107,120,160,no,no,,,,,,,,,,,,,,,n.a,n.a,,#f7e9dd,80:107,vertical,rectangle,3,,200×200mm
Standard,n.a,8,Right M,1,60,67,63,70,80,107,no,yes,below (24mm from photo),43,166,46,169,53,46,left,top,Mulish,22pt,Light,0,1.28,n.a,n.a,#231f20,#c2dbcc,03:02,vertical,rectangle,3,,200×200mm
Standard,n.a,8,Right M,2,135.7,146,138.7,149,107,80,no,no,,,,,,,,,,,,,,,n.a,n.a,,#c2dbcc,03:04,horizontal,rectangle,3,,200×200mm
Standard,n.a,9,Left H,1,75,53,78,56,120,80,no,no,,,,,,,,,,,,,,,n.a,n.a,,#f2c7de,03:02,horizontal,rectangle,3,below,200×200mm
Standard,n.a,9,Left H,2,114,147,117,150,120,80,no,no,,,,,,,,,,,,,,,n.a,n.a,,#f2c7de,03:02,horizontal,rectangle,3,below,200×200mm
Standard,n.a,9,Left V,1,52,62,55,65,74,99,no,no,,,,,,,,,,,,,,,n.a,n.a,,#f2c7de,03:04,vertical,rectangle,3,below,200×200mm
Standard,n.a,9,Left V,2,137.5,137.8,140.5,140.8,74,99,no,no,,,,,,,,,,,,,,,n.a,n.a,,#f2c7de,03:04,vertical,rectangle,3,below,200×200mm
Standard,n.a,9,Right S,1,105,100,108,103,200,200,no,no,,,,,,,,,,,,,,,n.a,n.a,,#f2c7de,03:02,square,rectangle,3,,200×200mm
Functional,Intro,0,Right,-,-,-,-,-,-,-,no,yes,center,105,104,108,107,100,50,center,center,Mulish,22pt,Light,0,1.28,no,yes,#d94027,#f9d84d,n.a,square,,3,,200×200mm
Functional,Intro,0,Right,-,-,-,-,-,-,-,no,yes,center,105,60,108,63,120,15,center,center,Lora,36pt,Regular,0,1.28,no,yes,#d94027,#f9d84d,n.a,square,,3,,200×200mm
Functional,Travel Itinerary,1,Right,-,-,-,-,-,-,-,no,yes,center,105,91,108,94,136,70,center,center,Mulish,20pt,Light,0,1.28,no,yes,#d94027,#f9d84d,n.a,square,,3,,200×200mm
